year,name,species,Plot, d30 , Height (m) , Height (cm) , Crown Dia (m) , Crown Dia (cm) , Crown Circum. (cm)  , LOG AGB AVI , Aboveground biomass (Kg) , Aboveground biomass (t/ha) , Belowground biomass (Kg) , Belowground biomass (t/ha) , Total biomass per ha (t/ha) , AGC (Kg) , BGC (Kg) , Total C (Kg) , Total C (t/ha) ," Btree l,j,p,i "
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.70 , 1.01 , 101.00 , 1.21 , 121 , 380 , 0.38 , 2.38 , 0.10 , 2.20 , 0.09 , 0.18 , 1.14 , 0.86 , 2.00 , 0.08 , 4.58 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.80 , 0.70 , 70.00 , 0.90 , 90 , 283 , 0.10 , 1.27 , 0.05 , 1.17 , 0.05 , 0.10 , 0.61 , 0.46 , 1.07 , 0.04 , 2.44 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.20 , 0.90 , 90.00 , 1.32 , 132 , 415 , 0.46 , 2.87 , 0.11 , 2.65 , 0.11 , 0.22 , 1.38 , 1.03 , 2.41 , 0.10 , 5.52 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.10 , 0.92 , 92.00 , 1.41 , 141 , 442 , 0.52 , 3.30 , 0.13 , 3.04 , 0.12 , 0.25 , 1.58 , 1.19 , 2.77 , 0.11 , 6.34 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.30 , 0.90 , 90.00 , 0.90 , 90 , 283 , 0.10 , 1.27 , 0.05 , 1.17 , 0.05 , 0.10 , 0.61 , 0.46 , 1.07 , 0.04 , 2.44 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 4.80 , 1.50 , 150.00 , 3.49 , 349 ," 1,096 ", 1.36 , 22.95 , 0.92 , 21.19 , 0.85 , 1.77 , 11.02 , 8.26 , 19.28 , 0.77 , 44.14 
,,,,,,,,,,,,,,,,,,,,
